name, icons
SQL, devicon-postgresql-plain colored
Algorithm, fi-pencil
System, devicon-ubuntu-plain colored
Management, fi-graph-pie
Marketing, fi-graph-horizontal
Finance, fi-dollar-bill
Frameworks, devicon-rails-plain colored
Language, devicon-ruby-plain colored
Design, devicon-illustrator-plain colored
