name,description,city,state,country
Brown university,"Brown university is a private Ivy League research university in Providence, Rhode Island.",Providence,Rhode Island,United States
Launch Academy,"Launch Academy is a 10-week, immersive bootcamp taking eager learners with little to no experience and teaching them what it takes to add value as a junior contributor to a software engineering team.",Boston, Massachusetts, United States
